Code,Description
I10,Essential (primary) hypertension
E11.9,Type 2 diabetes mellitus without complications
J45.909,Unspecified asthma, uncomplicated
J06.9,Acute upper respiratory infection, unspecified
B34.2,Coronavirus infection, unspecified
J11.1,Influenza due to unidentified influenza virus with other respiratory manifestations
K59.00,Constipation, unspecified
M54.50,Low back pain, unspecified
N39.0,Urinary tract infection, site not specified
R05.9,Cough, unspecified
R50.9,Fever, unspecified
K21.9,Gastro-esophageal reflux disease without esophagitis
G43.909,Migraine, unspecified, not intractable, without status migrainosus
H10.9,Conjunctivitis, unspecified
L20.9,Atopic dermatitis, unspecified
F41.9,Anxiety disorder, unspecified
F32.9,Major depressive disorder, single episode, unspecified
I25.10,Atherosclerotic heart disease of native coronary artery without angina pectoris
K35.80,Unspecified acute appendicitis
E03.9,Hypothyroidism, unspecified
